Date,Likes,WhoCanView,AllowComments,Sound,Month,DayOfWeek,Hour,Quarter,SoundType,Phases
2026-05-01 12:08:51,1814,Everyone,Yes,original sound - amul_xalaat,2026-05,Friday,12,2,Original,Maturation
2026-04-10 09:27:16,5489,Everyone,Yes,original sound - amul_xalaat,2026-04,Friday,9,2,Original,Maturation
2026-03-31 10:40:29,691,Everyone,Yes,Guitarra espaniola - Ashraf Ziada,2026-03,Tuesday,10,1,trending/music,Maturation
2026-03-30 20:57:53,1519,Everyone,Yes,Guitarra espaniola - Ashraf Ziada,2026-03,Monday,20,1,trending/music,Maturation
2026-03-26 10:59:18,1282,Everyone,Yes,Guitarra espaniola - Ashraf Ziada,2026-03,Thursday,10,1,trending/music,Maturation
2026-03-24 19:20:13,1324,Everyone,Yes,【No drums】 Emotional space-like epic ... - MoppySound,2026-03,Tuesday,19,1,trending/music,Maturation
2026-03-23 15:03:52,2471,Everyone,Yes,【No drums】 Emotional space-like epic ... - MoppySound,2026-03,Monday,15,1,trending/music,Maturation
2026-03-20 22:16:50,1864,Everyone,Yes,【No drums】 Emotional space-like epic ... - MoppySound,2026-03,Friday,22,1,trending/music,Maturation
2026-03-17 20:25:28,900,Everyone,Yes,Saam Faal gi By Kdolzbeatz - kdtrapapeuh,2026-03,Tuesday,20,1,trending/music,Maturation
2026-03-10 21:11:25,279,Everyone,Yes,original sound - amul_xalaat,2026-03,Tuesday,21,1,Original,Maturation
2026-03-09 22:19:09,385,Everyone,Yes,original sound - amul_xalaat,2026-03,Monday,22,1,Original,Maturation
2026-03-03 22:18:14,1331,Everyone,Yes,【No drums】 Emotional space-like epic ... - MoppySound,2026-03,Tuesday,22,1,trending/music,Maturation
2026-02-25 19:52:34,1229,Everyone,Yes,original sound - ikrambaloch080,2026-02,Wednesday,19,1,Original,Maturation
2026-02-20 22:19:10,2269,Everyone,Yes,original sound - ikrambaloch080,2026-02,Friday,22,1,Original,Maturation
2026-02-19 06:16:47,1102,Everyone,Yes,آهات بشرية اسلامية - صمت - Islamic Sound - Calm - Voice of the soul - صوت الروح,2026-02,Thursday,6,1,trending/music,Maturation
2026-02-16 22:27:13,1244,Everyone,Yes,original sound - amul_xalaat,2026-02,Monday,22,1,Original,Maturation
2026-02-14 21:56:42,231,Everyone,Yes,Saam Faal - Kdolz beatz,2026-02,Saturday,21,1,trending/music,Maturation
2026-02-12 15:01:46,1247,Everyone,Yes,Idea 10 - Clavier,2026-02,Thursday,15,1,trending/music,Maturation
2026-01-29 13:12:58,465,Everyone,Yes,Idea 10 - Clavier,2026-01,Thursday,13,1,trending/music,Stabilisation
2026-01-23 21:15:30,654,Everyone,Yes,original sound - amul_xalaat,2026-01,Friday,21,1,Original,Stabilisation
2026-01-21 12:40:36,486,Everyone,Yes,original sound - amul_xalaat,2026-01,Wednesday,12,1,Original,Stabilisation
2026-01-16 21:42:36,1144,Everyone,Yes,Move of the Spirit - Josué Novais Piano Worship,2026-01,Friday,21,1,trending/music,Stabilisation
2026-01-11 22:20:33,894,Everyone,Yes,Idea 10 - Clavier,2026-01,Sunday,22,1,trending/music,Stabilisation
2025-12-31 16:00:17,793,Everyone,Yes,Move of the Spirit - Josué Novais Piano Worship,2025-12,Wednesday,16,4,trending/music,Stabilisation
2025-12-29 20:58:05,70,Everyone,Yes,original sound - amul_xalaat,2025-12,Monday,20,4,Original,Stabilisation
2025-12-18 11:34:20,308,Everyone,Yes,Epic Emotional - AShamaluevMusic,2025-12,Thursday,11,4,trending/music,Stabilisation
2025-12-16 21:41:24,196,Everyone,Yes,Exousia - HERIKANT,2025-12,Tuesday,21,4,trending/music,Stabilisation
2025-12-15 15:24:57,1886,Everyone,Yes,original sound - amul_xalaat,2025-12,Monday,15,4,Original,Stabilisation
2025-12-10 16:30:12,194,Everyone,Yes,Calm - Peder B. Helland,2025-12,Wednesday,16,4,trending/music,Stabilisation
2025-12-06 15:38:31,591,Everyone,Yes,original sound - amul_xalaat,2025-12,Saturday,15,4,Original,Stabilisation
2025-11-28 15:07:24,1522,Everyone,Yes,son original - evthythainmwayuma,2025-11,Friday,15,4,trending/music,Stabilisation
2025-11-21 13:08:13,160,Everyone,Yes,son original - evthythainmwayuma,2025-11,Friday,13,4,trending/music,Stabilisation
2025-11-16 13:59:03,847,Everyone,Yes,original sound - amul_xalaat,2025-11,Sunday,13,4,Original,Stabilisation
2025-11-14 15:05:06,568,Everyone,Yes,son original - evthythainmwayuma,2025-11,Friday,15,4,trending/music,Stabilisation
2025-11-10 15:38:38,1499,Everyone,Yes,son original - evthythainmwayuma,2025-11,Monday,15,4,trending/music,Stabilisation
2025-10-31 20:54:03,713,Everyone,Yes,original sound - amul_xalaat,2025-10,Friday,20,4,Original,Stabilisation
2025-10-23 22:21:53,387,Everyone,Yes,original sound - amul_xalaat,2025-10,Thursday,22,4,Original,Stabilisation
2025-10-22 11:53:02,917,Everyone,Yes,Very Sad - Enchan,2025-10,Wednesday,11,4,trending/music,Stabilisation
2025-10-16 19:29:16,319,Everyone,Yes,Idea 10 - Clavier,2025-10,Thursday,19,4,trending/music,Stabilisation
2025-10-11 12:56:42,994,Everyone,Yes,Reflection on Peace - Adauto Assis,2025-10,Saturday,12,4,trending/music,Stabilisation
2025-10-07 22:34:46,189,Everyone,Yes,Goor - Ashs The Best,2025-10,Tuesday,22,4,trending/music,Stabilisation
2025-10-03 18:03:42,1197,Everyone,Yes,Idea 10 - Clavier,2025-10,Friday,18,4,trending/music,Stabilisation
2025-09-29 22:34:14,693,Everyone,Yes,Idea 10 - Clavier,2025-09,Monday,22,3,trending/music,Pic viral
2025-09-26 20:59:00,2622,Everyone,Yes,Reflection on Peace - Adauto Assis,2025-09,Friday,20,3,trending/music,Pic viral
2025-09-22 20:53:20,512,Everyone,Yes,Idea 10 - Clavier,2025-09,Monday,20,3,trending/music,Pic viral
2025-09-19 21:27:13,2957,Everyone,Yes,Boundless Worship - Josué Novais Piano Worship,2025-09,Friday,21,3,trending/music,Pic viral
2025-09-12 22:02:57,307,Everyone,Yes,Idea 10 - Clavier,2025-09,Friday,22,3,trending/music,Pic viral
2025-09-09 20:56:18,1690,Everyone,Yes,Idea 10 - Clavier,2025-09,Tuesday,20,3,trending/music,Pic viral
2025-09-05 15:00:00,2156,Everyone,Yes,Idea 10 - Clavier,2025-09,Friday,15,3,trending/music,Pic viral
2025-08-29 20:10:37,2832,Everyone,Yes,original sound - amul_xalaat,2025-08,Friday,20,3,Original,Pic viral
2025-08-29 00:14:24,96,Everyone,Yes,original sound - fulanrecites,2025-08,Friday,0,3,Original,Pic viral
2025-08-27 11:48:06,302,Everyone,Yes,original sound - amul_xalaat,2025-08,Wednesday,11,3,Original,Pic viral
2025-08-26 23:39:15,141,Everyone,Yes,sonido original - islxmic_page,2025-08,Tuesday,23,3,trending/music,Pic viral
2025-08-22 18:05:10,4248,Everyone,Yes,Slowest Stargazing - Marcelo De Carvalho,2025-08,Friday,18,3,trending/music,Pic viral
2025-08-17 19:36:45,2166,Everyone,Yes,original sound - amul_xalaat,2025-08,Sunday,19,3,Original,Pic viral
2025-08-15 22:48:20,616,Everyone,Yes,Boundless Worship - Josué Novais Piano Worship,2025-08,Friday,22,3,trending/music,Pic viral
2025-08-14 22:53:02,2048,Everyone,Yes,original sound - amul_xalaat,2025-08,Thursday,22,3,Original,Pic viral
2025-08-11 17:28:20,348,Everyone,Yes,original sound - amul_xalaat,2025-08,Monday,17,3,Original,Pic viral
2025-08-11 15:13:59,162,Everyone,Yes,original sound - rdr2.x1,2025-08,Monday,15,3,Original,Pic viral
2025-08-09 14:59:56,1238,Everyone,Yes,Goor - Ashs The Best,2025-08,Saturday,14,3,trending/music,Pic viral
2025-08-08 15:16:36,625,Everyone,Yes,Boundless Worship - Josué Novais Piano Worship,2025-08,Friday,15,3,trending/music,Pic viral
2025-08-07 17:39:25,973,Everyone,Yes,original sound - quranisrealpeaceofmaind1,2025-08,Thursday,17,3,Original,Pic viral
2025-08-06 22:07:21,1577,Everyone,Yes,Move of the Spirit - Josué Novais Piano Worship,2025-08,Wednesday,22,3,trending/music,Pic viral
2025-08-05 20:18:24,184,Everyone,Yes,Idea 10 - Clavier,2025-08,Tuesday,20,3,trending/music,Pic viral
2025-08-04 20:09:08,5917,Everyone,Yes,Boundless Worship - Josué Novais Piano Worship,2025-08,Monday,20,3,trending/music,Pic viral
2025-08-02 18:48:55,663,Everyone,Yes,Idea 10 - Clavier,2025-08,Saturday,18,3,trending/music,Pic viral
2025-08-01 18:19:11,2379,Everyone,Yes,original sound - amul_xalaat,2025-08,Friday,18,3,Original,Pic viral
2025-07-27 10:03:09,628,Everyone,Yes,original sound - amul_xalaat,2025-07,Sunday,10,3,Original,Montée
2025-07-26 11:27:10,378,Everyone,Yes,Idea 22 - Gibran Alcocer,2025-07,Saturday,11,3,trending/music,Montée
2025-07-25 16:33:12,746,Everyone,Yes,original sound - amul_xalaat,2025-07,Friday,16,3,Original,Montée
2025-07-24 09:10:21,153,Everyone,Yes,original sound - amul_xalaat,2025-07,Thursday,9,3,Original,Montée
2025-07-23 22:16:53,57,Everyone,Yes,Imagine - Ultimate Mix - John Lennon,2025-07,Wednesday,22,3,trending/music,Montée
2025-07-18 20:58:23,121,Everyone,Yes,Gods creation - daniel.mp3,2025-07,Friday,20,3,trending/music,Montée
2025-07-18 11:01:56,44,Everyone,Yes,Take My Mind - WizTheMc & bees & honey,2025-07,Friday,11,3,trending/music,Montée
2025-07-16 20:03:21,41,Everyone,Yes,Waxalag'Man - Ashs The Best,2025-07,Wednesday,20,3,trending/music,Montée
2025-07-16 18:01:12,173,Everyone,Yes,Daaru Dunya - AMADEUS,2025-07,Wednesday,18,3,trending/music,Montée
2025-07-16 11:03:06,71,Everyone,Yes,MEL450_01_5_Subtle_Feeling_(NoStrings)_Greg_Carrozza - Greg Carrozza,2025-07,Wednesday,11,3,trending/music,Montée
2025-07-15 22:15:13,57,Everyone,Yes,original sound - amul_xalaat,2025-07,Tuesday,22,3,Original,Montée
2025-07-15 11:56:44,61,Everyone,Yes,original sound - maui_ioane2.0,2025-07,Tuesday,11,3,Original,Montée
2025-07-14 22:20:43,73,Everyone,Yes,nhạc nền - Template Capcut 🍁 - Template Capcut 🍁,2025-07,Monday,22,3,trending/music,Montée
2025-07-12 10:42:45,125,Everyone,Yes,Deugeur - Papeush,2025-07,Saturday,10,3,trending/music,Montée
2025-07-10 23:52:13,92,Everyone,Yes,Idea 15 (Sped Up) - Gibran Alcocer,2025-07,Thursday,23,3,trending/music,Montée
2025-07-08 19:46:38,144,Everyone,Yes,Solo - Courten,2025-07,Tuesday,19,3,trending/music,Montée
2025-07-07 18:05:42,96,Everyone,Yes,original sound - amul_xalaat,2025-07,Monday,18,3,Original,Montée
2025-07-05 10:28:44,94,Everyone,Yes,A Bar Song (Tipsy) - Shaboozey,2025-07,Saturday,10,3,trending/music,Montée
2025-07-03 20:32:20,164,Everyone,Yes,original sound - amul_xalaat,2025-07,Thursday,20,3,Original,Montée
2025-07-02 19:32:12,55,Everyone,Yes,original sound - amul_xalaat,2025-07,Wednesday,19,3,Original,Montée
2025-07-01 20:11:40,2039,Everyone,Yes,original sound - amul_xalaat,2025-07,Tuesday,20,3,Original,Montée
2025-06-26 22:38:10,71,Everyone,Yes,Doon benn - Dip Doundou Guiss & mohrei,2025-06,Thursday,22,2,trending/music,Montée
2025-06-26 17:53:48,118,Everyone,Yes,bipolar (Slowed) - .diedlonely,2025-06,Thursday,17,2,trending/music,Montée
2025-06-25 21:32:06,55,Everyone,Yes,Bideew - Ashs The Best,2025-06,Wednesday,21,2,trending/music,Montée
2025-06-18 13:40:19,1692,Everyone,Yes,original sound - amul_xalaat,2025-06,Wednesday,13,2,Original,Montée
2025-06-17 23:05:57,111,Everyone,Yes,Alf Leila We Leila - الف ليلة وليلة - Om Kalthom,2025-06,Tuesday,23,2,trending/music,Montée
2025-06-16 23:15:01,150,Everyone,Yes,son original - music_videos_lyric,2025-06,Monday,23,2,trending/music,Montée
2025-06-15 22:08:26,101,Everyone,Yes,son original - babacar_ndour_tv_,2025-06,Sunday,22,2,trending/music,Montée
2025-06-14 13:28:58,85,Everyone,Yes,Deugeur - Papeush,2025-06,Saturday,13,2,trending/music,Montée
2025-06-13 18:22:54,79,Everyone,Yes,original sound - rdr2.x1,2025-06,Friday,18,2,Original,Montée
2025-06-13 15:23:08,135,Everyone,Yes,original sound - amul_xalaat,2025-06,Friday,15,2,Original,Montée
2025-06-12 20:21:32,2890,Everyone,Yes,original sound - amul_xalaat,2025-06,Thursday,20,2,Original,Montée
2025-06-07 22:49:32,135,Everyone,Yes,son original - wally.ballagoseck,2025-06,Saturday,22,2,trending/music,Montée
2025-06-06 17:26:08,76,Everyone,Yes,sonido original - renybermanwesbter,2025-06,Friday,17,2,trending/music,Montée
2025-06-04 12:42:32,109,Everyone,Yes,original sound - amul_xalaat,2025-06,Wednesday,12,2,Original,Montée
2025-05-29 23:40:51,100,Everyone,Yes,Bideew - Ashs The Best,2025-05,Thursday,23,2,trending/music,Démarrage
2025-05-28 20:25:02,75,Everyone,Yes,original sound - amul_xalaat,2025-05,Wednesday,20,2,Original,Démarrage
2025-05-03 19:53:10,56,Everyone,Yes,njegenaay - AMADEUS,2025-05,Saturday,19,2,trending/music,Démarrage
2025-05-02 21:35:37,73,Everyone,Yes,suara asli - 𝟑𝟎𝟑 𝑊𝐼𝐿𝐿𝐺𝑂𝑂𝐷. - 𝟑𝟎𝟑 𝑊𝐼𝐿𝐿𝐺𝑂𝑂𝐷.,2025-05,Friday,21,2,trending/music,Démarrage
2025-04-30 18:39:33,257,Everyone,Yes,ALEX WARREN LEAKED - alexwarrensnaps,2025-04,Wednesday,18,2,trending/music,Démarrage
2025-04-29 18:01:20,117,Everyone,Yes,El Bent El Shalabeye - Fairouz,2025-04,Tuesday,18,2,trending/music,Démarrage
2025-04-25 21:04:50,83,Everyone,Yes,оригинальный звук - tenly.p,2025-04,Friday,21,2,trending/music,Démarrage
2025-04-24 20:53:23,47,Everyone,Yes,original sound - amul_xalaat,2025-04,Thursday,20,2,Original,Démarrage
2025-04-23 10:50:35,86,Everyone,Yes,оригинальный звук - tenly.p,2025-04,Wednesday,10,2,trending/music,Démarrage
2025-04-22 20:33:24,136,Everyone,Yes,suono originale - quiet_den,2025-04,Tuesday,20,2,trending/music,Démarrage
2025-04-21 20:15:53,102,Everyone,Yes,original sound - amul_xalaat,2025-04,Monday,20,2,Original,Démarrage
2025-04-19 20:13:45,110,Everyone,Yes,Boroom Bi - Dip Doundou Guiss,2025-04,Saturday,20,2,trending/music,Démarrage
2025-04-19 10:39:55,117,Everyone,Yes,original sound - amul_xalaat,2025-04,Saturday,10,2,Original,Démarrage
2025-04-18 10:04:09,157,Everyone,Yes,Deugeur - Papeush,2025-04,Friday,10,2,trending/music,Démarrage
2025-04-17 21:29:55,181,Everyone,Yes,original sound - amul_xalaat,2025-04,Thursday,21,2,Original,Démarrage
2025-04-17 12:52:44,111,Everyone,Yes,original sound - icarocarvalholv,2025-04,Thursday,12,2,Original,Démarrage
2025-04-16 18:20:27,156,Everyone,Yes,Solo - Courten,2025-04,Wednesday,18,2,trending/music,Démarrage
2025-04-14 22:53:37,48,Everyone,Yes,Alhamdulillah - heslost.lol,2025-04,Monday,22,2,trending/music,Démarrage
2025-04-13 22:10:59,51,Everyone,Yes,Seeds of Growth (1111 Hz) - Malte Marten,2025-04,Sunday,22,2,trending/music,Démarrage
2025-04-12 17:42:29,155,Everyone,Yes,original sound - amul_xalaat,2025-04,Saturday,17,2,Original,Démarrage
2025-04-10 23:23:32,84,Everyone,Yes,original sound - icarocarvalholv,2025-04,Thursday,23,2,Original,Démarrage
2025-04-09 22:39:31,64,Everyone,Yes,original sound - friendlyreminderbyronni,2025-04,Wednesday,22,2,Original,Démarrage
2025-04-06 21:36:54,561,Everyone,Yes,Hope - 古神一号,2025-04,Sunday,21,2,trending/music,Démarrage
2025-03-27 22:52:27,38,Everyone,Yes,Heart of Courage - London Music Works,2025-03,Thursday,22,1,trending/music,Démarrage
2025-03-27 01:13:41,136,Everyone,Yes,original sound - icarocarvalholv,2025-03,Thursday,1,1,Original,Démarrage
2025-03-26 22:06:39,61,Everyone,Yes,original sound - renemontalbojr - renemontalbojr,2025-03,Wednesday,22,1,Original,Démarrage
2025-03-26 00:10:20,141,Everyone,Yes,original sound - kubsxyz,2025-03,Wednesday,0,1,Original,Démarrage
2025-03-24 22:54:08,74,Everyone,Yes,son original - condor.music,2025-03,Monday,22,1,trending/music,Démarrage
2025-03-18 00:04:05,17,Everyone,Yes,ICARUS - Orchestral Version - Tony Ann,2025-03,Tuesday,0,1,trending/music,Démarrage
2025-03-13 20:39:55,30,Everyone,Yes,Anlatamam slowed - indohellenikoi,2025-03,Thursday,20,1,trending/music,Démarrage
2025-03-13 00:05:21,62,Everyone,Yes,sonido original - islxmic_page,2025-03,Thursday,0,1,trending/music,Démarrage
2025-03-01 21:11:49,47,Everyone,Yes,original sound - _.abozar._,2025-03,Saturday,21,1,Original,Démarrage
2025-02-28 22:02:42,100,Everyone,Yes,original sound - amul_xalaat,2025-02,Friday,22,1,Original,Démarrage
2025-02-27 20:16:17,60,Everyone,Yes,الصوت الأصلي - 2ffoooo,2025-02,Thursday,20,1,trending/music,Démarrage
2025-02-26 20:21:50,26,Everyone,Yes,suara asli - 𝟑𝟎𝟑 𝐍𝐨𝐚. - 𝟑𝟎𝟑 𝐍𝐨𝐚.,2025-02,Wednesday,20,1,trending/music,Démarrage
2025-02-22 20:26:08,26,Everyone,Yes,Hemenesy - NNX LXSY,2025-02,Saturday,20,1,trending/music,Démarrage
2025-02-22 01:15:33,52,Everyone,Yes,original sound - _.abozar._,2025-02,Saturday,1,1,Original,Démarrage
2025-02-20 18:46:20,34,Everyone,Yes,original sound - betterbiggersharper,2025-02,Thursday,18,1,Original,Démarrage
2025-02-18 12:17:15,16,Everyone,Yes,Ethereal - Txmy,2025-02,Tuesday,12,1,trending/music,Démarrage
2025-02-17 20:24:11,28,Everyone,Yes,suara asli - Pemberi Petunjuk 🍁 - Pemberi Petunjuk 🍁,2025-02,Monday,20,1,trending/music,Démarrage
2025-02-17 10:37:40,26,Everyone,Yes,suara asli - Pemberi Petunjuk 🍁 - Pemberi Petunjuk 🍁,2025-02,Monday,10,1,trending/music,Démarrage
2025-02-15 12:01:34,32,Everyone,Yes,original sound - lyfovfy,2025-02,Saturday,12,1,Original,Démarrage
2025-02-14 18:30:29,30,Everyone,Yes,original sound - davidgogginsmoments,2025-02,Friday,18,1,Original,Démarrage
2025-02-12 22:37:18,30,Everyone,Yes,cardigan - Taylor Swift,2025-02,Wednesday,22,1,trending/music,Démarrage
2025-02-12 11:59:32,49,Everyone,Yes,original sound - amul_xalaat,2025-02,Wednesday,11,1,Original,Démarrage
2025-02-10 21:59:45,23,Everyone,Yes,Boundless Worship - Josué Novais Piano Worship,2025-02,Monday,21,1,trending/music,Démarrage
2025-02-05 21:08:43,25,Everyone,Yes,Now we are free - bodenstedt,2025-02,Wednesday,21,1,trending/music,Démarrage
2025-02-05 14:46:36,109,Everyone,Yes,ALLAH is the creator - mohd.nomann,2025-02,Wednesday,14,1,trending/music,Démarrage
2025-02-04 20:26:14,90,Everyone,Yes,original sound - amul_xalaat,2025-02,Tuesday,20,1,Original,Démarrage
2025-02-03 13:16:54,74,Everyone,Yes,original sound - lyfovfy,2025-02,Monday,13,1,Original,Démarrage
2025-01-26 20:55:33,68,Everyone,Yes,Jaar jaar - Narah Diouf,2025-01,Sunday,20,1,trending/music,Démarrage
2025-01-25 17:32:28,32,Everyone,Yes,original sound - amul_xalaat,2025-01,Saturday,17,1,Original,Démarrage
2025-01-24 20:51:12,55,Everyone,Yes,original sound - amul_xalaat,2025-01,Friday,20,1,Original,Démarrage
2025-01-23 18:00:11,38,Everyone,Yes,The Beauty of Existence - Muhammad Al Muqit,2025-01,Thursday,18,1,trending/music,Démarrage
